""	"MC002"	"MC003"	"MC004"	"MC005"	"MC008"	"MC010"	"MC013"	"MC014"	"MC018"	"MC020"	"MC021"	"MC024"	"MC025"	"MC027"	"MC029"	"MC030"	"MC032"	"MC033"	"MC034"	"MC036"	"MC037"	"MC038"	"MC050"	"MC053"	"MC054"	"MC059"	"MC061"	"MC063"	"MC064"	"MC066"	"MC1006"	"MC1009"	"MC1011"	"MC1015"	"MC1016"	"MC1023"	"MC1035"	"MC1042"	"MC1043"	"MC1045"	"MP002"	"MP003"	"MP004"	"MP005"	"MP008"	"MP010"	"MP013"	"MP014"	"MP018"	"MP020"	"MP021"	"MP024"	"MP025"	"MP027"	"MP029"	"MP030"	"MP032"	"MP033"	"MP034"	"MP035"	"MP036"	"MP038"	"MP050"	"MP053"	"MP054"	"MP059"	"MP061"	"MP063"	"MP064"	"MP066"	"MP1006"	"MP1009"	"MP1011"	"MP1015"	"MP1016"	"MP1023"	"MP1037"	"MP1042"	"MP1043"	"MP1045"
"CAG0006"	0.0280479433460611	0.068978476522508	0.0209996611676045	0.313868362504019	0.0120402843106913	0.0296967736233923	0.0260247461133441	0.0021591694835209	0.0213812466197749	0.0177393878858521	0.00877005883842444	0.00163256570538585	0.0074440041016881	0.00914712030747588	0.00360616228094855	0.122561272576166	0.008561439875	0.157437678846262	0.0105055566358521	0.0768951004019293	0.017691558880627	0.013041538647508	0.0194741477150322	0.258650942491359	0.0227450499155949	0.00578378383641479	0.0058928741057074	0.00839823241358521	0.00875257299839228	0.0286043543368167	0.00589530933279743	0.0196620805508441	0.0116778417343248	0.114619733311897	0.00896397771302251	0.0082238145136656	0.0230827515614952	0.0343464841177653	0.0273851601205788	0.0110323924879421	0.0620922592230707	0.0389637310673231	0.0618585442417605	0.0481976240126608	0.111544726708199	8.29968824875402	0.0221205420377814	0.0195315295912379	0.320278417286977	0.220276100531953	0.00271946653737942	0.0130036950643087	0.0377150426286174	0.00849246773713826	0.0234910563002412	0.0308461731111334	0.00783918633420418	0.0119437901728296	0.262760889096664	0.0336899292423633	0.0448920055813907	0.0173389317815514	0.036688585454582	0.00873789491358521	0.0569224257493971	0.0248349511830788	0.355122739288585	0.0497646778058682	0.0174057143729904	0.300721770628014	0.0263384083058682	0.0185447754401125	0.00825292245578778	0.135172598948352	0.0117874657395498	0.0204359692423633	0.493496006552251	1.6963329435621	0.98719789938967	0.68184316555828
"CAG0008"	0.0163496698854873	0.464199599779621	0.00483027586585651	0.169338230612293	0.00141752511334424	0.00706718788034588	0.0127441387684038	0.000887979352652489	0.00145370802290255	0.0139542989273195	0.0170177215517644	0.0054542283056789	0.00645150818929656	0.00736142968544052	0.00168908359196074	0.0449990447810236	0.00601473953610657	0.0451811699266184	0.0139779520261743	0.0247836516433746	0.0192380444940407	0.00788822039635429	0.0236595548967048	0.11225671122552	0.00985558200677729	0.0176290725823791	0.00131859337228324	0.0415912416662772	0.00523609203318532	0.00840291838420192	0.0092296485211498	0.0169894924468334	0.00560734629586352	0.0844363439899509	0.0117608258361767	0.0100271140806263	0.144135361383501	0.00827055671184856	0.00452186648048609	0.0182380176758588	0.0368709418046273	0.0179418409067539	0.0388904726090208	0.136179750915167	0.02917113695957	0.368789072916336	0.0149393694250993	0.00873683964711381	0.305567925640804	0.103522981066371	0.00566634710913765	0.00931177392521617	0.0935616407758822	0.00244087801682636	0.00354714044870297	0.00902965563542884	0.00735081371582145	0.017247682322739	0.610572862043001	0.0208458738864221	0.0128487282986679	0.00320087865973358	0.0195620544697359	0.0138471546739893	0.340922587049544	0.00883747505702267	0.195460526698995	0.125229063404767	0.0153667801986445	0.145886800400093	0.0228441025496611	0.0336525871161486	0.00721300677541482	0.0995215293229727	0.00767738630824959	0.0199157591084365	0.440739293141388	6.87529505545688	0.644128577179949	0.31942720766838
"CAG0013"	17.3758058256709	8.72216692078947	9.36902800672932	5.1989111963476	20.8952545810584	24.1815331626084	2.03957553330249	77.6600316174089	28.9224403626084	2.57453665252169	5.94972070311741	11.8540735274367	6.39156048913534	6.31944171600058	0.109991802860035	4.29139160275882	46.9154848510989	6.95543612950839	19.1387092190717	7.35547284034124	3.29360595338924	10.8393145779005	9.53719907488143	7.25919670111625	9.3048394593262	7.12856797781666	45.3309232976865	13.7712657909485	19.9897603809138	16.3576557634066	0.139650433247542	5.38017781972238	3.73867549368421	6.25216502568826	25.9738737852805	40.9215636255928	16.0430601450318	23.7955123909312	27.2695572120503	13.1426576371024	6.87274788481781	1.33546339817698	3.40957985330943	20.7474928016484	4.31579851399075	2.28590067578947	6.73043292265761	21.236873210856	2.94786531118276	2.19620815802198	8.92430147958647	8.11139474219491	3.008827813583	19.815864457432	8.46287968182765	9.27273158230191	37.2909056406015	0.414289054164546	1.79055483751012	13.6807231409196	4.2970739199277	22.0019778277736	0.539410809788895	0.230817461616541	5.62503966267206	8.92096342481781	0.726015238990746	1.32949110354251	5.50361792951706	4.87161779550318	20.1404287753355	2.15679341080393	5.18564806922499	1.87702771738866	6.06600368663968	0.118095195801041	6.19601199637652	1.10618012254482	2.39475256437825	1.0255008427299
"CAG0014"	0.0376710691788546	0.521481145964464	0.0364319244111601	0.0115526860032305	0.00267288812041116	0.123965408011747	4.92131267134214	0.00804520319530103	0.504183798572687	0.00785158718649046	0.000659324332452276	0.00072432331277533	0.000708236907488987	0.0052385458041116	0.00161576158883994	0.0770750219735683	0.00113193088105727	0.0389124330249633	0.0199156691248164	0.00644663802643172	0.00463550845521292	0.00183968147723935	0.00214705063436123	0.0144596557080764	0.353713497230543	0.00759681794126285	0.00131948383553598	0.00244975490161527	0.00178809740675477	0.00979188761116006	0.00135621024375918	0.00932972518737151	0.000601880675477239	0.00412258468722467	0.0541546311527166	0.00124198998825257	0.0274833682161527	0.0062944673277533	0.000889786484581498	0.00572446073715125	0.0150369187894273	10.9276632762702	0.0127979956449339	0.00680030578208517	0.0182144356540382	0.106687530478708	0.0258974360998532	0.0139715816886931	0.382508533599413	0.0133877923139501	0.00085227884287812	0.0118988488449339	0.0537523800408223	0.00541254667547724	0.00441489124522761	0.637281670643466	0.00323395528340675	0.0100469773500734	0.393066765964758	0.00741649135594714	0.00169023564757709	0.00250516582525697	0.0972363120602056	0.0345544238414097	0.100045480701909	0.00967873289251101	0.12107048801909	0.0191650771668135	0.00516055861967695	0.00719839918619677	0.00733173987547724	0.0537137023406755	0.0234334921791483	0.00229677476945668	0.00730102453891336	0.0885298767988253	2.00409350081527	0.232606768339501	0.0548952071694567	0.61292371773862
"CAG0017"	0.000800296922807018	3.49147390340032	0.00162286434449761	0.0287808979604466	0.000388331256778309	0.00205075141307815	0.00123242296012759	0.00246390060606061	0.00206984994258373	0.000319962366826156	0.00102181749920255	0.00133117485167464	0.00430094621052632	0.121247427410207	0.00165140401594896	0.4694129328437	0.0111480969933014	0.87232809939362	0.114700227867305	0.294661213925997	0.00338677370972887	0.0012013080861244	0.00188445668580542	0.0906208439866029	0.000571087186602871	0.000912634197767145	0.000957081869218501	0.00186227255502392	0.000746856411483254	0.000811372797448166	0.00609430367464115	0.276265542888038	0.00267905316746411	0.112140689696332	0.00140933262838915	0.000699635180223286	0.000917091023604466	0.106293250457735	0.00191732737799043	0.000578066851674641	0.00136537752472089	0.00186074675055821	2.48829830711962	0.261175795077831	1.94012711124402	0.0288589176778309	0.220629563092823	0.000797412082934609	0.37080210073748	0.435085550244019	0.00156496910047847	0.0010315969569378	0.124224627043062	0.00274093376395534	0.00190048519617225	0.00135306990111643	0.00595084828708134	0.0117852247429027	0.449368988093461	0.00163575344816587	0.00139927538118022	0.000912131799043062	0.000978904080701754	0.0218090307208931	0.663107927956619	0.00556736348963317	0.136583689552791	0.658043440550558	0.00392716890271132	7.82691133849761	0.00257632984688995	0.0187790366510367	0.0191110159722488	0.586046950594258	0.00186644942009569	0.00269842203253589	0.0311415539901116	0.69276410425614	2.26585409906252	0.445286274365869
"CAG0029"	2.49051684467372	0.141358764554253	0.0665839301701323	0.118678782162571	0.165653492967864	0.117623420029112	1.4864521214155	0.0147212920226843	0.0199404098604915	0.0389901717088847	0.0301882061436673	0.0146282671909263	0.0442670325746692	0.0533393032873346	0.0209476890937618	0.0503199413795841	0.0226097452476371	0.0954517409924386	0.0731342772691871	1.01068974632136	0.203912785149338	0.0212207687890359	0.117241312701701	0.617113838645369	0.0673519935402647	0.0306817556483932	0.0364334844385633	0.0461887124952741	0.0348334506389414	0.154706674439698	0.0394516472688091	0.0979924635587902	0.055232079705104	1.4032447036862	0.0713042433028355	0.0628171492094518	0.163841938691493	0.116205080306238	0.0393204326238185	0.0798436785482042	0.113120368615501	0.221725752741021	0.52499770847259	0.259455465616635	2.31840797155161	0.396674297685822	0.0599720614555766	0.056053637694896	1.66807047344159	0.375811134487713	0.0559394491266541	0.0346942483247637	0.620824961731569	0.0450574563875236	0.0400693452400756	0.0449342884155009	0.0606718907432892	0.0637231082234404	1.13545721954707	0.170190809098677	0.0432104866994329	0.186105535053686	21.8981529088091	0.422403308666541	0.279329204561437	0.131992003173535	3.8878777400242	0.265062696359546	0.0311029395584121	0.261852857701323	0.15271692988242	0.0733740158563327	0.0603396330381853	0.330612645689225	0.0633034628771267	0.0535385909780718	0.285763724238563	0.68744596633913	0.747715878181853	0.324305914215123
"CAG0043"	0.0144471070042194	0.464796842472574	0.0224762565147679	0.0109518318987342	0.00726663178902954	0.252623262451477	0.00881827017721519	0.00441937064556962	0.004935626	0.00591653008860759	0.00364235436708861	0.00178182036708861	0.00432476394514768	0.00503387469620253	0.00434637494514768	0.0132750369915612	0.00524790471561181	0.064421401256962	0.00824959018565401	0.257257605576793	0.430492944983122	0.0104171634936709	0.00832366657257384	0.0255148946455696	0.00985976601687764	0.00594227881434599	0.00372272376793249	0.00201460267510549	0.128165694181435	6.26458425696203	0.0275208610042194	1.03023674832068	0.116468434417722	4.26716605229114	0.00292618722362869	0.00743619087763713	0.13435345214346	0.831566627873418	0.00733537349367089	0.00935397093670886	0.232553182410127	0.0212343298451477	0.74425432357384	0.113723740285654	0.0960314063164557	0.0683727607004219	0.0136662859029536	0.0106428655696203	0.507475364675105	0.0292978629995781	0.00311248446962025	0.00413359586919831	0.0204163961772152	0.00397647334177215	0.00429859809704641	0.0226839082185654	0.0284367827130802	0.103350089126582	2.58776298787342	0.029986307857384	0.0131689398506329	0.179122595460338	6.57936382232068	1.06388612004219	0.0218303798345992	0.0419405454472574	0.649394410344304	0.0781673557459916	0.0078202452742616	0.723959526869198	0.131257982206751	0.012282405164557	0.00784932462025316	0.10440342564346	0.0216015311223629	0.25517009313924	10.160339031097	0.669054593555696	0.593763198550211	0.227303178891139
"CAG0052"	1.21065014401418	0.00744102691626052	0.048170707704918	2.95724786047851	0.00136454519273372	0.0208332555383252	0.0460570916925122	0.00587336255649092	0.00613476503766061	0.015932664980062	0.00135249543198937	0.00161862550287993	0.00375910521931768	0.00916135174568011	0.00503450297740363	0.36698102167479	0.00520715103234382	0.145261505866194	1.42212555904298	5.39607441470979	0.00220215393885689	0.00171757147097918	0.0214301695081967	0.443208611741249	0.0389996056933983	0.00509918576871954	0.00286291927337173	0.255472791524147	0.00208247813026141	0.00757187010323438	0.000785110221533008	0.00427881285777581	0.0423040347363757	1.22619321510412	0.00278477622064688	0.00194072220646876	0.00554881812583075	0.00331717205139566	0.00146190871067789	0.00285570089942401	0.00991695395657953	0.0136723609525919	0.334530776998671	11.4992198389898	0.00909340444838281	0.290282374452813	0.0315031591980505	0.00693800809038547	1.0478984382942	0.364744988406292	0.00753817368630926	4.78504184634914	2.80970282268055	0.109980060819672	0.00470561980505095	0.0119532330407621	0.00768298380150642	0.00906360456889677	0.183603484186531	0.0161653586796633	4.9182813113868	0.0709744161041205	2.00798315465618	0.42101252972973	0.0179082507354896	0.00648197446610545	0.0149599638852459	0.0113923202038104	0.00418005927780239	0.0258275490797519	0.00719149131147541	0.126755959627825	0.0119889541027913	0.357280875759858	0.00487609840496234	0.00675458662826761	0.0118648227603013	0.0470266827953035	0.00624913021843155	0.0373074620708906
"CAG0096"	0.000145717777777778	3.00374052665382e-05	0	6.47547206165703e-05	0	0.00038843246628131	0.000477147134232498	0.000369729248554913	0.000501188220937701	7.22538214515093e-05	0.000269336210661529	0.000233077064868337	0.000308641078998073	0.000319129621066153	0.000332154373795761	0.000719002199100835	0.0135592309916506	1.29406905701991	1.6048558335517	0.157491184791265	0.209152220584457	0.000877779768786127	0.00213663896467566	0.199167296030186	0.000472287013487476	0.000240134399486191	7.02970070648683e-05	0.000631985276172126	0.000419005748233783	0.000297344758509955	0.000137170327552987	0.000667277083493899	0.0139318038664098	0.597481138805395	0.000181528921001927	0.000339659154142582	0.000301847552986513	0	0.000204244649967887	0.000207373211303789	0.00033265006807964	0.00032963134746307	0.000538069337829159	0.00697965959537572	0.255124649132948	0.00989669444380218	0.000466206064868337	0.000496064746307001	3.01040095305074	0.676353379120103	0.000783180732177264	0.000419854386640976	0.366405578342967	0.000223440531791908	0.00023731819524727	0.000301864095696853	0.000500646956326268	0.00112042814386641	0.00539221067565832	0.000283285561978163	0.000527398124598587	0.000415078181759794	0.000539060858702633	0.00344286704624277	0.105840560584457	0.00260263048811818	0.214195403949904	0.0127567728413616	0.000625188801541426	1.20759629152858	0.000971262434168272	0	0.000763739990366089	0.00705207758766859	0.000278964251766217	0.00369532284521516	0.182133860937701	0.00435760389916506	0.0204870212479127	2.39339328477842
"CAG0099"	0.000722462318181818	1.00716000650649	0.000261406928571429	0.0296653073766234	0.000594867279220779	0.00292314953246753	0.000722575692857143	0.00101299464935065	0.00180099725974026	0.0170588017337662	0.000169110123376623	0.000176390953246753	0.00124468504545455	0.0113066311753247	0.000818595292207792	0.706635774564935	0.0177117581383117	1.65580723698052	0.00196920175974026	0.217631431831169	0.000311122792207792	0.00139668342207792	0.093257409525974	0.307632589577922	0.000339959623376623	0.000403652220779221	0.000150739792207792	3.02616493506494e-05	0.000208662396103896	0.000781116298701299	0.000323314837662338	0.000786486032467532	0.00474575432467532	0.234552326409091	0.000243638720779221	0.00014750261038961	0	0.000189484480519481	0.000519923896103896	0.000829273818181818	0.0151735280967532	0.000894694675324675	0.000852308231168831	0.251943094772727	0.474351753844156	1.87404169016883	0.00830557934415584	0.00105003361688312	4.10416772694805	0.356422210805195	0.000612654149350649	0.000316076090909091	0.00212018539415584	0.000804660796103896	0.00144001254545455	0.00118322910649351	0.00143006118831169	0.00389030217337662	0.116124354762338	0.000692051175324675	0.00506209314350649	0.000525157255844156	0.00194405171428571	0.00119658205194805	0.00380316279480519	0.0371986061493507	1.94603456447403	0.00800834987597403	0.00146861027272727	1.04505244916883	0.033825791112987	0.037834677461039	0.00419102373376623	0.212898831233766	0.00138892242857143	0.0116018147077922	0.708092579064935	0.348842829116883	0.20414794480974	0.323144748272727
